iter	Passed	Remaining
0	0	59
1	1	55
2	1	52
3	2	48
4	2	50
5	3	50
6	3	51
7	4	51
8	5	51
9	5	51
10	6	50
11	6	51
12	7	50
13	8	49
14	8	48
15	9	48
16	9	47
17	10	47
18	10	46
19	11	46
20	12	45
21	12	45
22	13	44
23	13	44
24	14	43
25	15	42
26	15	42
27	16	41
28	16	40
29	17	40
30	17	39
31	18	38
32	18	38
33	19	37
34	20	37
35	20	36
36	21	36
37	21	35
38	22	35
39	22	34
40	23	33
41	23	32
42	24	32
43	24	31
44	25	31
45	26	30
46	26	30
47	27	29
48	27	28
49	28	28
50	28	27
51	29	27
52	30	26
53	30	26
54	31	25
55	31	24
56	32	24
57	32	23
58	33	23
59	34	22
60	34	22
61	35	21
62	35	21
63	36	20
64	36	19
65	37	19
66	37	18
67	38	18
68	39	17
69	39	16
70	40	16
71	40	15
72	41	15
73	41	14
74	42	14
75	42	13
76	43	12
77	43	12
78	44	11
79	44	11
80	45	10
81	45	10
82	46	9
83	46	8
84	47	8
85	47	7
86	48	7
87	48	6
88	49	6
89	49	5
90	50	4
91	50	4
92	51	3
93	52	3
94	52	2
95	53	2
96	53	1
97	54	1
98	55	0
99	55	0
