iter	Passed	Remaining
0	130	130129
1	131	65843
2	133	44431
3	134	33601
4	136	27142
5	137	22774
6	138	19648
7	139	17323
8	140	15477
9	141	14020
10	142	12826
11	143	11801
12	143	10926
13	144	10178
14	145	9540
15	146	8982
16	146	8483
17	147	8034
18	147	7636
19	148	7271
20	149	6947
21	149	6660
22	150	6391
23	151	6146
24	152	5930
25	152	5719
26	153	5520
27	153	5340
28	154	5168
29	154	5007
30	155	4860
31	156	4722
32	156	4592
33	157	4469
34	157	4354
35	158	4247
36	159	4151
37	160	4055
38	160	3965
39	161	3880
40	162	3799
41	163	3719
42	163	3644
43	164	3569
44	164	3499
45	165	3430
46	165	3363
47	166	3298
48	166	3237
49	167	3177
50	167	3120
51	168	3065
52	168	3013
53	169	2962
54	169	2913
55	170	2866
56	170	2820
57	170	2776
58	171	2733
59	171	2692
60	172	2652
61	172	2613
62	173	2577
63	173	2540
64	174	2505
65	174	2473
66	175	2443
67	175	2411
68	176	2381
69	176	2351
70	177	2321
71	177	2293
72	178	2264
73	178	2237
74	179	2211
75	179	2186
76	180	2161
77	180	2136
78	181	2112
79	181	2089
80	182	2066
81	182	2043
82	182	2019
83	183	1998
84	183	1977
85	184	1957
86	184	1938
87	185	1919
88	185	1900
89	186	1882
90	186	1863
91	187	1846
92	187	1828
93	187	1811
94	188	1794
95	188	1778
96	189	1762
97	189	1747
98	190	1734
99	191	1719
100	191	1705
101	192	1691
102	192	1677
103	193	1663
104	193	1649
105	194	1636
106	194	1623
107	195	1610
108	195	1598
109	195	1585
110	196	1573
111	196	1561
112	197	1549
113	197	1537
114	198	1525
115	198	1514
116	199	1502
117	199	1491
118	200	1480
119	200	1469
120	200	1459
121	201	1448
122	201	1438
123	202	1428
124	202	1418
125	203	1408
126	203	1398
127	203	1389
128	204	1380
129	204	1371
130	205	1363
131	206	1355
132	206	1347
133	207	1338
134	207	1330
135	208	1322
136	208	1313
137	209	1305
138	209	1298
139	210	1290
140	210	1282
141	210	1274
142	211	1266
143	211	1259
144	212	1251
145	212	1244
146	213	1237
147	213	1230
148	214	1223
149	214	1216
150	215	1209
151	215	1202
152	216	1196
153	216	1189
154	217	1183
155	217	1177
156	218	1170
157	218	1164
158	218	1157
159	219	1151
160	219	1144
161	220	1138
162	220	1133
163	221	1127
164	221	1121
165	222	1116
166	222	1110
167	223	1104
168	223	1099
169	224	1093
170	224	1088
171	225	1083
172	225	1077
173	225	1072
174	226	1067
175	226	1062
176	227	1057
177	227	1051
178	228	1047
179	228	1042
180	229	1037
181	229	1032
182	230	1027
183	230	1022
184	231	1017
185	231	1012
186	231	1008
187	232	1003
188	232	999
189	233	994
190	233	990
191	234	985
192	234	981
193	235	977
194	235	972
195	236	969
196	236	965
197	237	961
198	237	957
199	238	952
200	238	948
201	239	944
202	239	940
203	240	936
204	240	932
205	241	929
206	241	925
207	242	921
208	242	917
209	242	913
210	243	910
211	243	906
212	244	902
213	244	899
214	245	895
215	245	891
216	246	888
217	246	884
218	246	880
219	247	877
220	247	873
221	248	870
222	248	867
223	249	863
224	249	860
225	250	856
226	250	853
227	251	850
228	251	847
229	252	843
230	252	840
231	253	837
232	253	834
233	253	831
234	254	828
235	254	824
236	255	821
237	255	818
238	256	815
239	256	812
240	257	809
241	257	806
242	257	803
243	258	800
244	258	797
245	259	794
246	259	792
247	260	789
248	260	786
249	261	783
250	261	780
251	262	777
252	262	775
253	262	772
254	263	769
255	263	766
256	264	764
257	264	761
258	265	758
259	265	756
260	266	753
261	266	751
262	267	748
263	267	746
264	268	744
265	268	741
266	269	738
267	269	736
268	270	733
269	270	731
270	270	728
271	271	726
272	271	724
